MAC,Vendor,Country
8C-F1-12,Motorola Mobility LLC_ a Lenovo Company,US
B8-99-AE,Shenzhen MiaoMing  Intelligent Technology Co._Ltd,CN
E8-D0-B9,Taicang T&W Electronics,CN
58-85-A2,Realme Chongqing MobileTelecommunications Corp Ltd,CN
A8-C0-EA,Pepwave Limited,HK
44-AE-AB,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP._LTD,CN
A4-F0-5E,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP._LTD,CN
00-07-1C,AT&T,US
84-76-37,HUAWEI TECHNOLOGIES CO._LTD,CN
FC-94-35,HUAWEI TECHNOLOGIES CO._LTD,CN
E0-24-81,HUAWEI TECHNOLOGIES CO._LTD,CN
2C-F8-9B,Cisco Systems_ Inc,US
80-B0-7B,zte corporation,CN
C8-5A-9F,zte corporation,CN
50-02-91,Espressif Inc.,CN
00-1D-DF,Sunitec Enterprise Co._Ltd,TW
8C-0F-FA,Hutec co._ltd,KR
AC-FE-05,ITEL MOBILE LIMITED,HK
BC-C3-1B,Kygo Life A,NO
64-DF-10,JingLue Semiconductor(SH) Ltd.,CN
10/1/77,HUAWEI TECHNOLOGIES CO._LTD,CN
44-A1-91,HUAWEI TECHNOLOGIES CO._LTD,CN
24-52-6A,Zhejiang Dahua Technology Co._ Ltd.,CN
20-DF-B9,Google_ Inc.,US
5C-CA-D3,CHIPSEA TECHNOLOGIES (SHENZHEN) CORP.,CN
78-2A-79,Integrated Device Technology (Malaysia) Sdn. Bhd.,MY
78-65-59,Sagemcom Broadband SAS,FR
50-D2-F5,Beijing Xiaomi Mobile Software Co._ Ltd,CN
1C-68-7E,Shenzhen Qihu Intelligent Technology Company Limited,CN
C0-36-56,Fiberhome Telecommunication Technologies Co._LTD,CN
B0-3E-51,SKY UK LIMITED,GB
28-16-7F,Xiaomi Communications Co Ltd,CN
08-71-90,Intel Corporate,MY
5C-E8-83,HUAWEI TECHNOLOGIES CO._LTD,CN
60-23-A4,Sichuan AI-Link Technology Co._ Ltd.,CN
A4-53-0E,Cisco Systems_ Inc,US
00-40-3A,IMPACT TECHNOLOGIES,FR
C8-B1-CD,Apple_ Inc.,US
14-60-CB,Apple_ Inc.,US
B8-F1-2A,Apple_ Inc.,US
F8-87-F1,Apple_ Inc.,US
60-44-7A,Water-i.d. GmbH,DE
80-72-15,SKY UK LIMITED,GB
74-D6-37,Amazon Technologies Inc.,US
74-84-E1,Dongguan Haoyuan Electronics Co._Ltd,CN
40-74-E0,Intel Corporate,MY
D0-5F-64,IEEE Registration Authority,US
44-FB-5A,zte corporation,CN
C4-63-FB,Neatframe AS,NO
30-57-14,Apple_ Inc.,US
04-A2-22,Arcadyan Corporation,TW
04-AB-6A,Chun-il Co._Ltd.,KR
00-35-FF,Texas Instruments,US
DC-54-D7,Amazon Technologies Inc.,US
28-FE-65,DongGuan Siyoto Electronics Co._ Ltd ,CN
18-06-F5,RAD Data Communications_ Ltd.,IL
88-9F-AA,Hella Gutmann Solutions GmbH ,DE
04-C8-07,Xiaomi Communications Co Ltd,CN
44-59-E3,HUAWEI TECHNOLOGIES CO._LTD,CN
68-3F-1E,EFFECT Photonics B.V.,NL
44-D3-CA,Cisco Systems_ Inc,US
84-0B-7C,Hitron Technologies. Inc,TW
48-A7-3C,Sichuan tianyi kanghe communications co._ LTD,CN
F8-A7-63,Zhejiang Tmall Technology Co._ Ltd.,CN
6C-29-90,WiZ Connected Lighting Company Limited,HK
98-35-ED,HUAWEI TECHNOLOGIES CO._LTD,CN
80-76-93,Newag SA,PL
BC-97-40,IEEE Registration Authority,US
08-4F-0A,HUAWEI TECHNOLOGIES CO._LTD,CN
A8-49-4D,HUAWEI TECHNOLOGIES CO._LTD,CN
44-00-4D,HUAWEI TECHNOLOGIES CO._LTD,CN
20-96-8A,China Mobile (Hangzhou) Information Technology Co._ Ltd.,CN
8C-18-50,China Mobile (Hangzhou) Information Technology Co._ Ltd.,CN
D8-D4-E6,Hytec Inter Co._ Ltd.,JP
F8-E7-A0,vivo Mobile Communication Co._ Ltd.,CN
2C-FF-EE,vivo Mobile Communication Co._ Ltd.,CN
C8-5D-38,HUMAX Co._ Ltd.,KR
18-CF-24,HUAWEI TECHNOLOGIES CO._LTD,CN
50-F8-A5,eWBM Co._ Ltd.,KR
D8-9B-3B,HUAWEI TECHNOLOGIES CO._LTD,CN
88-40-3B,HUAWEI TECHNOLOGIES CO._LTD,CN
FC-87-43,HUAWEI TECHNOLOGIES CO._LTD,CN
04-88-5F,HUAWEI TECHNOLOGIES CO._LTD,CN
C8-50-CE,HUAWEI TECHNOLOGIES CO._LTD,CN
00-0B-E4,Hosiden Corporation,JP
44-13-D0,zte corporation,CN
24-62-AB,Espressif Inc.,CN
14-49-BC,DrayTek Corp.,TW
20-F4-78,Xiaomi Communications Co Ltd,CN
74-38-B7,CANON INC.,JP
90-73-5A,Motorola Mobility LLC_ a Lenovo Company,US
00-04-DF,TERACOM TELEMATICA S.A,BR
18-B6-F7,NEW POS TECHNOLOGY LIMITED,CN
1C-82-59,IEEE Registration Authority,US
00-FA-21,Samsung Electronics Co._Ltd,KR
7C-23-02,Samsung Electronics Co._Ltd,KR
6C-AB-05,Cisco Systems_ Inc,US
5C-B1-5F,Oceanblue Cloud Technology Limited,HK
48-5D-EB,Just Add Power,US
50-13-95,Sichuan AI-Link Technology Co._ Ltd.,CN
18-D9-EF,Shuttle Inc.,TW
88-DA-33,Beijing Xiaoyuer Network Technology Co._ Ltd,CN
84-C7-8F,APS Networks GmbH,DE
C0-9F-E1,zte corporation,CN
18-AA-CA,Sichuan tianyi kanghe communications co._ LTD,CN
D4-9D-C0,Samsung Electronics Co._Ltd,KR
D0-19-6A,Ciena Corporation,US
84-FD-D1,Intel Corporate,MY
B0-70-0D,Nokia,CA
00-21-75,Pacific Satellite International Ltd.,HK
34-6B-5B,New H3C Technologies Co._ Ltd,CN
84-E8-92,Actiontec Electronics_ Inc,US
78-E2-BD,Vodafone Automotive S.p.A.,IT
F8-48-FD,China Mobile Group Device Co._Ltd.,CN
50-41-B9,I-O DATA DEVICE_INC.,JP
80-DA-BC,Megafone Limited,HK
20-DA-22,HUAWEI TECHNOLOGIES CO._LTD,CN
18-46-44,Home Control Singapore Pte Ltd,SG
C8-21-DA,Shenzhen YOUHUA Technology Co._ Ltd,CN
20-65-8E,HUAWEI TECHNOLOGIES CO._LTD,CN
18-3D-5E,HUAWEI TECHNOLOGIES CO._LTD,CN
88-97-46,Sichuan AI-Link Technology Co._ Ltd.,CN
1C-DE-57,Fiberhome Telecommunication Technologies Co._LTD,CN
E0-DC-FF,Xiaomi Communications Co Ltd,CN
00-77-8D,Cisco Systems_ Inc,US
00-0E-8C,Siemens AG,DE
00-87-64,Cisco Systems_ Inc,US
84-6F-CE,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP._LTD,CN
B0-E7-1D,Shanghai Maigantech Co._Ltd,CN
C4-68-D0,VTech Telecommunications Ltd.,HK
14-AE-DB,VTech Telecommunications Ltd.,HK
78-DB-2F,Texas Instruments,US
E0-B6-55,Beijing Xiaomi Electronics Co._ Ltd.,CN
8C-0F-A0,di-soric GmbH & Co. KG,DE
F8-BB-BF,eero inc.,US
DC-FB-48,Intel Corporate,MY
DC-71-37,zte corporation,CN
84-7C-9B,GD Midea Air-Conditioning Equipment Co._Ltd.,CN
34-41-A8,ER-Telecom,RU
34-DB-9C,Sagemcom Broadband SAS,FR
74-40-BE,LG Innotek,KR
A4-CF-12,Espressif Inc.,CN
FC-B6-62,IC Holdings LLC,US
04-D4-C4,ASUSTek COMPUTER INC.,TW
A0-51-0B,Intel Corporate,MY
74-88-BB,Cisco Systems_ Inc,US
A8-E2-C3,Shenzhen YOUHUA Technology Co._ Ltd,CN
0C-A0-6C,Industrial Cyber Sensing Inc.,CA
FC-D2-B6,IEEE Registration Authority,US
80-4A-14,Apple_ Inc.,US
70-3C-69,Apple_ Inc.,US
AC-2D-A9,TECNO MOBILE LIMITED,HK
40-A9-3F,Pivotal Commware_ Inc.,US
4C-6A-F6,HMD Global Oy,FI
48-9D-D1,Samsung Electronics Co._Ltd,KR
C0-8C-71,Motorola Mobility LLC_ a Lenovo Company,US
48-04-9F,ELECOM CO._ LTD,JP
08-7F-98,vivo Mobile Communication Co._ Ltd.,CN
C0-41-21,Nokia Solutions and Networks GmbH & Co. KG,DE
F4-6F-4E,Echowell,TW
B0-6F-E0,Samsung Electronics Co._Ltd,KR
44-B9-94,Douglas Lighting Controls,CA
24-79-F8,KUPSON spol. s r.o.,CZ
70-BF-92,GN Audio A/S,DK
AC-BB-61,YSTen Technology Co._Ltd,CN
34-20-03,Shenzhen Feitengyun Technology Co._LTD,CN
7C-FD-82,GUANGDONG GENIUS TECHNOLOGY CO._ LTD.,CN
00-2F-5C,Cisco Systems_ Inc,US
F4-64-5D,Toshiba,JP
F0-7D-68,D-Link Corporation,TW
EC-41-18,XIAOMI Electronics_CO._LTD,CN
D8-86-0B,IEEE Registration Authority,US
08-EC-F5,Cisco Systems_ Inc,US
D0-76-50,IEEE Registration Authority,US
60-D0-A9,Samsung Electronics Co._Ltd,KR
88-CE-FA,HUAWEI TECHNOLOGIES CO._LTD,CN
00-27-06,YOISYS,KR
04-2D-B4,First Property (Beijing) Co._ Ltd Modern MOMA Branch,CN
38-F8-5E,HUMAX Co._ Ltd.,KR
00-CB-51,Sagemcom Broadband SAS,FR
C4-64-B7,Fiberhome Telecommunication Technologies Co._LTD,CN
04-E0-B0,Shenzhen YOUHUA Technology Co._ Ltd,CN
38-B1-9E,IEEE Registration Authority,US
38-E2-6E,ShenZhen Sweet Rain Electronics Co._Ltd.,CN
70-C9-C6,Cisco Systems_ Inc,US
68-9A-87,Amazon Technologies Inc.,US
64-AE-88,Polytec GmbH,DE
00-D0-50,Iskratel d.o.o.,SI
78-DA-A2,Cynosure Technologies Co._Ltd,CN
80-84-A9,oshkosh Corporation,US
18-0D-2C,Intelbras,BR
98-DA-C4,TP-LINK TECHNOLOGIES CO._LTD.,CN
00-17-7B,Azalea Networks inc,US
50-2B-98,Es-tech International,KR
C8-28-32,Beijing Xiaomi Electronics Co._ Ltd.,CN
70-1B-FB,Integrated Device Technology (Malaysia) Sdn. Bhd.,MY
04-76-6E,ALPSALPINE CO_.LTD,JP
AC-7A-4D,ALPSALPINE CO_.LTD,JP
38-C0-96,ALPSALPINE CO_.LTD,JP
C4-34-6B,Hewlett Packard,US
48-F1-7F,Intel Corporate,MY
00-26-43,ALPSALPINE CO_.LTD,JP
1C-34-77,Innovation Wireless,US
4C-C7-D6,FLEXTRONICS MANUFACTURING(ZHUHAI)CO._LTD.,CN
C8-08-73,Ruckus Wireless,US
00-16-97,NEC Corporation,JP
00-30-13,NEC Corporation,JP
BC-3E-07,Hitron Technologies. Inc,TW
48-FD-A3,Xiaomi Communications Co Ltd,CN
28-80-88,NETGEAR,US
90-86-9B,zte corporation,CN
E0-18-9F,EM Microelectronic,CH
F8-13-08,Nokia,CA
F8-A2-D6,Liteon Technology Corporation,TW
04-9D-FE,Hivesystem,KR
D0-51-57,LEAX Arkivator Telecom,CN
FC-BE-7B,vivo Mobile Communication Co._ Ltd.,CN
B4-0F-B3,vivo Mobile Communication Co._ Ltd.,CN
EC-5C-68,CHONGQING FUGUI ELECTRONICS CO._LTD.,CN
94-58-CB,Nintendo Co._Ltd,JP
74-36-6D,Vodafone Italia S.p.A.,IT
18-2A-44,HIROSE ELECTRONIC SYSTEM,JP
FC-94-CE,zte corporation,CN
0C-EC-84,Shenzhen TINNO Mobile Technology Corp.,CN
9C-DB-07,Yellowtec GmbH,DE
28-EC-9A,Texas Instruments,US
C4-E5-06,Piper Networks_ Inc.,US
0C-D0-F8,Cisco Systems_ Inc,US
DC-DA-80,New H3C Technologies Co._ Ltd,CN
B8-25-9A,Thalmic Labs ,CA
30-EB-5A,LANDIS + GYR,GR
F8-0F-6F,Cisco Systems_ Inc,US
00-80-E3,CORAL NETWORK CORPORATION,US
D8-F2-CA,Intel Corporate,MY
B4-C6-2E,Molex CMS,US
28-25-36,SHENZHEN HOLATEK CO._LTD,CN
B8-A1-75,Roku_ Inc.,US
CC-D3-C1,Vestel Elektronik San ve Tic. A.S.,TR
A4-26-55,LTI Motion (Shanghai) Co._ Ltd.,CN
60-A7-30,Shenzhen Yipinfang Internet Technology Co._Ltd,CN
3C-9B-D6,Vizio_ Inc,US
50-DB-3F,SHENZHEN GONGJIN ELECTRONICS CO._LT,CN
10-81-B4,Hunan Greatwall Galaxy Science and Technology Co._Ltd.,CN
38-81-D7,Texas Instruments,US
18-04-ED,Texas Instruments,US
D4-32-60,GoPro,US
F4-DD-9E,GoPro,US
D4-D9-19,GoPro,US
CC-72-86,Xi'an Fengyu Information Technology Co._ Ltd.,CN
6C-A9-28,HMD Global Oy,FI
00-D8-61,Micro-Star INTL CO._ LTD.,TW
74-C1-7D,Infinix mobility limited,HK
14/11/14,TECNO MOBILE LIMITED,HK
00-B8-B3,Cisco Systems_ Inc,US
74-5F-90,LAM Technologies,IT
F8-5B-9C,SB SYSTEMS Co._Ltd,KR
00-42-79,Sunitec Enterprise Co._Ltd,CN
A4-50-46,Xiaomi Communications Co Ltd,CN
F8-50-1C,Tianjin Geneuo Technology Co._Ltd,CN
70-D3-13,HUAWEI TECHNOLOGIES CO._LTD,CN
9C-1D-36,HUAWEI TECHNOLOGIES CO._LTD,CN
CC-BB-FE,HUAWEI TECHNOLOGIES CO._LTD,CN
44-07-0B,Google_ Inc.,US
EC-F6-BD,SNCF MOBILITÉS,FR
B8-31-B5,Microsoft Corporation,US
00-7C-2D,Samsung Electronics Co._Ltd,KR
38-B4-D3,BSH Hausgeraete GmbH,DE
C8-47-82,Areson Technology Corp.,TW
E8-93-63,Nokia,CA
7C-0C-F6,Guangdong Huiwei High-tech Co._ Ltd.,CN
20-AD-56,Continental Automotive Systems Inc.,US
50-29-F5,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP._LTD,CN
30-0A-60,IEEE Registration Authority,US
80-D0-65,CKS Corporation,JP
00-D6-FE,Cisco Systems_ Inc,US
0C-BF-74,Morse Micro,AU
B4-1D-2B,Shenzhen YOUHUA Technology Co._ Ltd,CN
14-C2-13,Apple_ Inc.,US
FC-8F-7D,SHENZHEN GONGJIN ELECTRONICS CO._LT,CN
24-BE-18,DADOUTEK COMPANY LIMITED,CN
74-9D-79,Sercomm Corporation.,TW
A4-D9-31,Apple_ Inc.,US
BC-FE-D9,Apple_ Inc.,US
80-82-23,Apple_ Inc.,US
CC-08-FB,TP-LINK TECHNOLOGIES CO._LTD.,CN
BC-AF-91,TE Connectivity Sensor Solutions,FR
28-31-66,vivo Mobile Communication Co._ Ltd.,CN
C0-40-04,Medicaroid Corporation,JP
A4-ED-43,IEEE Registration Authority,US
94-29-8D,Shanghai AdaptComm Technology Co._ Ltd.,CN
00-AA-6E,Cisco Systems_ Inc,US
F0-D7-DC,Wesine (Wuhan) Technology Co._ Ltd.,CN
00-72-04,Samsung Electronics Co._ Ltd. ARTIK,KR
40-C8-1F,Shenzhen Xinguodu Technology Co._ Ltd.,CN
0C-7C-28,Nokia Solutions and Networks GmbH & Co. KG,DE
68-43-D7,Agilecom Photonics Solutions Guangdong Limited,CN
B8-6A-97,Edgecore Networks Corporation,TW
A8-10-87,Texas Instruments,US
8C-8F-8B,China Mobile Chongqing branch,CN
14-59-C0,NETGEAR,US
00-04-0B,3COM EUROPE LTD,GB
C8-C2-F5,FLEXTRONICS MANUFACTURING(ZHUHAI)CO._LTD.,CN
F0-58-49,CareView Communications,US
8C-FE-74,Ruckus Wireless,US
60-4B-AA,Magic Leap_ Inc.,US
4C-01-43,eero inc.,US
E4-34-93,HUAWEI TECHNOLOGIES CO._LTD,CN
34-29-12,HUAWEI TECHNOLOGIES CO._LTD,CN
48-A4-72,Intel Corporate,MY
00-0A-5E,3COM,US
00-10-5A,3COM,US
00-60-97,3COM,US
00-60-08,3COM,US
00-01-02,3COM,US
A0-28-33,IEEE Registration Authority,US
00-1B-6E,Keysight Technologies_ Inc.,US
14-37-19,PT Prakarsa Visi Valutama,ID
58-2F-40,Nintendo Co._Ltd,JP
08-90-BA,Danlaw Inc,US
4C-36-4E,Panasonic Connect Co._ Ltd.,JP
BC-A5-8B,Samsung Electronics Co._Ltd,KR
80-CE-B9,Samsung Electronics Co._Ltd,KR
E8-5D-86,CHANG YOW TECHNOLOGIES INTERNATIONAL CO._LTD.,TW
94-A3-CA,KonnectONE_ LLC,US
D0-D3-FC,Mios_ Ltd.,US
6C-6C-D3,Cisco Systems_ Inc,US
E0-49-ED,Audeze LLC,US
00-01-57,SYSWAVE CO._ LTD,KR
A8-01-6D,Aiwa Corporation,US
04-40-A9,New H3C Technologies Co._ Ltd,CN
24-4C-E3,Amazon Technologies Inc.,US
B8-BE-F4,devolo AG,DE
58-FD-BE,Shenzhen Taikaida Technology Co._ Ltd,CN
F4-F1-97,EMTAKE Inc,KR
6C-ED-51,NEXCONTROL Co._Ltd,KR
10-62-E5,Hewlett Packard,US
04-C3-E6,IEEE Registration Authority,US
98-BB-99,Phicomm (Sichuan) Co._Ltd.,CN
00-26-22,COMPAL INFORMATION (KUNSHAN) CO._ LTD. ,CN
00-20-B5,YASKAWA ELECTRIC CORPORATION,JP
28-63-36,Siemens AG,DE
14-D1-69,HUAWEI TECHNOLOGIES CO._LTD,CN
1C-C3-EB,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP._LTD,CN
F4-60-E2,Xiaomi Communications Co Ltd,CN
E4-D1-24, Mojo Networks_ Inc.,US
9C-C9-50,Baumer Holding,CH
F8-99-10,Integrated Device Technology (Malaysia) Sdn. Bhd.,MY
50-E0-EF,Nokia,CA
60-F1-8A,HUAWEI TECHNOLOGIES CO._LTD,CN
C4-95-00,Amazon Technologies Inc.,US
68-DD-26,Shanghai Focus Vision Security Technology Co._Ltd,CN
28-66-E3,AzureWave Technology Inc.,TW
84-8A-8D,Cisco Systems_ Inc,US
E0-62-67,Xiaomi Communications Co Ltd,CN
70-B7-AA,vivo Mobile Communication Co._ Ltd.,CN
00-13-A3,Siemens Home & Office Comm. Devices,US
08-25-25,Xiaomi Communications Co Ltd,CN
84-B3-1B,Kinexon GmbH,DE
F8-27-2E,Mercku,CA
CC-50-E3,Espressif Inc.,CN
A8-3E-0E,HMD Global Oy,FI
10-C1-72,HUAWEI TECHNOLOGIES CO._LTD,CN
00-0E-EE,Muco Industrie BV,NL
7C-1C-4E,LG Innotek,KR
D8-B6-B7,Comtrend Corporation,TW
8C-14-B4,zte corporation,CN
3C-98-72,Sercomm Corporation.,TW
40-C3-C6,SnapRoute,US
D0-1C-BB,Beijing Ctimes Digital Technology Co._ Ltd.,CN
74-87-BB,Ciena Corporation,US
C0-B6-F9,Intel Corporate,MY
DC-E3-05,AO ,RU
A4-DA-32,Texas Instruments,US
78-04-73,Texas Instruments,US
50-4C-7E,THE 41ST INSTITUTE OF CETC,CN
2C-47-59,Beijing MEGA preponderance Science & Technology Co. Ltd,CN
DC-E0-EB,Nanjing Aozheng Information Technology Co.Ltd,CN
00-15-1E,ETHERNET Powerlink Standarization Group (EPSG),CH
00-11-1E,ETHERNET Powerlink Standarization Group (EPSG),CH
00-40-9D,DigiBoard,US
14-93-46,PNI sensor corporation,US
00-13-8A,Qingdao GoerTek Technology Co._ Ltd.,CN
A8-30-AD,WEIFANG GOERTEK ELECTRONICS CO._LTD,CN
A4-15-66,WEIFANG GOERTEK ELECTRONICS CO._LTD,CN
1C-96-5A,WEIFANG GOERTEK ELECTRONICS CO._LTD,CN
40-1B-5F,WEIFANG GOERTEK ELECTRONICS CO._LTD,CN
14-4F-8A,Intel Corporate,MY
00-21-06,RIM Testing Services,CA
5C-CD-7C,MEIZU Technology Co._Ltd.,CN
5C-96-56,AzureWave Technology Inc.,TW
E0-60-66,Sercomm Corporation.,TW
BC-5F-F6,MERCURY COMMUNICATION TECHNOLOGIES CO._LTD.,CN
C8-E7-D8,MERCURY COMMUNICATION TECHNOLOGIES CO._LTD.,CN
A8-E5-52,JUWEL Aquarium AG & Co. KG,DE
60-D2-1C,Sunnovo International Limited,CN
CC-51-B4,Integrated Device Technology (Malaysia) Sdn. Bhd.,MY
00-C3-F4,Samsung Electronics Co._Ltd,KR
B8-8A-EC,Nintendo Co._Ltd,JP
78-72-5D,Cisco Systems_ Inc,US
B4-6B-FC,Intel Corporate,MY
B0-FC-0D,Amazon Technologies Inc.,US
CC-C9-2C,Schindler - PORT Technology,CH
00-1E-39,Comsys Communication Ltd.,IL
EC-8C-9A,HUAWEI TECHNOLOGIES CO._LTD,CN
B4-86-55,HUAWEI TECHNOLOGIES CO._LTD,CN
D0-D7-83,HUAWEI TECHNOLOGIES CO._LTD,CN
AC-3B-77,Sagemcom Broadband SAS,FR
FC-E6-6A,Industrial Software Co,BG
78-36-CC,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP._LTD,CN
70-C8-33,Wirepas Oy,FI
0C-73-EB,IEEE Registration Authority,US
F0-B5-D1,Texas Instruments,US
00-E0-00,FUJITSU LIMITED,JP
90-84-8B,HDR10+ Technologies_ LLC,US
0C-F5-A4,Cisco Systems_ Inc,US
80-C7-C5,Fiberhome Telecommunication Technologies Co._LTD,CN
28-16-A8,Microsoft Corporation,US
04-8A-E1,FLEXTRONICS MANUFACTURING(ZHUHAI)CO._LTD.,CN
8C-CF-5C,BEFEGA GmbH,DE
50-1D-93,HUAWEI TECHNOLOGIES CO._LTD,CN
C8-D7-79,QING DAO HAIER TELECOM CO._LTD.,CN
10-B3-6F,Bowei Technology Company Limited ,CN
FC-9B-C6,Sumavision Technologies Co._Ltd,CN
C8-29-2A,Barun Electronics,KR
00-80-BA,SPECIALIX (ASIA) PTE_ LTD,US
48-0B-B2,IEEE Registration Authority,US
CC-C0-79,Murata Manufacturing Co._ Ltd.,JP
F0-9C-D7,Guangzhou Blue Cheetah Intelligent Technology Co._ Ltd.,CN
BC-E1-43,Apple_ Inc.,US
E4-82-CC,Jumptronic GmbH,DE
B0-41-6F,Shenzhen Maxtang Computer Co._Ltd,CN
E0-19-D8,BH TECHNOLOGIES,FR
48-60-5F,LG Electronics (Mobile Communications),KR
30-D9-D9,Apple_ Inc.,US
60-30-D4,Apple_ Inc.,US
F8-95-EA,Apple_ Inc.,US
18-F1-D8,Apple_ Inc.,US
64-70-33,Apple_ Inc.,US
84-68-78,Apple_ Inc.,US
C8-D0-83,Apple_ Inc.,US
8C-4C-DC,PLANEX COMMUNICATIONS INC.,JP
BC-AB-7C,TRnP KOREA Co Ltd,KR
6C-38-38,Marking System Technology Co._ Ltd.,JP
9C-2E-A1,Xiaomi Communications Co Ltd,CN
0C-6A-BC,Fiberhome Telecommunication Technologies Co._LTD,CN
3C-CD-5D,HUAWEI TECHNOLOGIES CO._LTD,CN
7C-76-68,HUAWEI TECHNOLOGIES CO._LTD,CN
00-13-86,ABB Inc/Totalflow,US
00-3C-10,Cisco Systems_ Inc,US
F0-41-C8,IEEE Registration Authority,US
CC-99-16,Integrated Device Technology (Malaysia) Sdn. Bhd.,MY
EC-7F-C6,ECCEL CORPORATION SAS,CO
A4-38-CC,Nintendo Co._Ltd,JP
74-72-1E,Edison Labs Inc.,US
78-0F-77,HangZhou Gubei Electronics Technology Co._Ltd,CN
4C-AB-FC,zte corporation,CN
7C-2A-31,Intel Corporate,MY
0C-F3-46,Xiaomi Communications Co Ltd,CN
7C-FF-4D,AVM Audiovisuelles Marketing und Computersysteme GmbH,DE
74-70-FD,Intel Corporate,MY
50-65-F3,Hewlett Packard,US
3C-95-09,Liteon Technology Corporation,TW
30-FD-38,Google_ Inc.,US
64-CB-5D,SIA TeleSet,LV
58-21-E9,TWPI,US
F0-E3-DC,Tecon MT_ LLC,RU
A8-DA-01,Shenzhen NUOLIJIA Digital Technology Co._Ltd,CN
88-E9-0F,innomdlelab,KR
00-10-D8,CALISTA,GB
00-21-94,Ping Communication,CH
18-94-C6,ShenZhen Chenyee Technology Co._ Ltd.,CN
70-3A-73,Shenzhen Sundray Technologies Company Limited,CN
80-AD-16,Xiaomi Communications Co Ltd,CN
04-4E-AF,LG Innotek,KR
98-D8-63,Shanghai High-Flying Electronics Technology Co._ Ltd,CN
C4-9F-4C,HUAWEI TECHNOLOGIES CO._LTD,CN
0C-70-4A,HUAWEI TECHNOLOGIES CO._LTD,CN
10-F9-EB,Industria Fueguina de Relojería Electrónica s.a.,AR
5C-5A-EA,FORD,US
00-0B-7B,Test-Um Inc.,US
BC-DD-C2,Espressif Inc.,CN
C8-8F-26,Skyworth Digital Technology(Shenzhen) Co._Ltd,CN
20-36-5B,Megafone Limited,HK
E8-DE-00,ChongQing GuanFang Technology Co._LTD,CN
FC-64-3A,Samsung Electronics Co._Ltd,KR
00-30-74,EQUIINET LTD.,GB
B0-B3-AD,HUMAX Co._ Ltd.,KR
40-BD-32,Texas Instruments,US
CC-8E-71,Cisco Systems_ Inc,US
70-D0-81,Beijing Netpower Technologies Inc.,CN
70-C9-4E,Liteon Technology Corporation,TW
38-F5-54,HISENSE ELECTRIC CO._LTD,CN
18-A2-8A,Essel-T Co._ Ltd,KR
A8-51-5B,Samsung Electronics Co._Ltd,KR
00-19-36,STERLITE OPTICAL TECHNOLOGIES LIMITED,IN
3C-E8-24,HUAWEI TECHNOLOGIES CO._LTD,CN
54-B7-E5,Rayson Technology Co._ Ltd.,TW
54B7E5  (base 16)Rayson Technology Co._ Ltd.,,0
94-63-72,vivo Mobile Communication Co._ Ltd.,CN
BC-0F-A7,Ouster,US
F0-C9-D1,GD Midea Air-Conditioning Equipment Co._Ltd.,CN
34-7E-5C,Sonos_ Inc.,US
F8-C1-20,Xi'an Link-Science Technology Co._Ltd,CN
B4-FB-F9,HUAWEI TECHNOLOGIES CO._LTD,CN
50-6F-77,HUAWEI TECHNOLOGIES CO._LTD,CN
0C-41-E9,HUAWEI TECHNOLOGIES CO._LTD,CN
70-F2-20,Actiontec Electronics_ Inc,US
34-5A-06,SHARP Corporation,JP
B8-9F-09,Wistron Neweb Corporation,TW
04-02-CA,Shenzhen Vtsonic Co._ltd,CN
3C-FB-5C,Fiberhome Telecommunication Technologies Co._LTD,CN
74-40-BB,Hon Hai Precision Ind. Co._Ltd.,CN
88-BD-45,Samsung Electronics Co._Ltd,KR
54-FC-F0,Samsung Electronics Co._Ltd,KR
30-6A-85,Samsung Electronics Co._Ltd,KR
4C-DD-31,Samsung Electronics Co._Ltd,KR
B4-DE-31,Cisco Systems_ Inc,US
A4-40-27,zte corporation,CN
B4-F7-A1,LG Electronics (Mobile Communications),KR
70-EF-00,Apple_ Inc.,US
28-ED-E0,AMPAK Technology_ Inc.,TW
1C-11-61,Ciena Corporation,US
C8-77-65,Tiesse SpA,IT
D0-81-7A,Apple_ Inc.,US
98-CA-33,Apple_ Inc.,US
68-AB-1E,Apple_ Inc.,US
BC-FF-EB,Motorola Mobility LLC_ a Lenovo Company,US
2C-37-C5,Qingdao Haier Intelligent Home Appliance Technology Co._Ltd,CN
CC-40-D0,NETGEAR,US
7C-76-30,Shenzhen YOUHUA Technology Co._ Ltd,CN
98-22-EF,Liteon Technology Corporation,TW
7C-76-35,Intel Corporate,MY
B8-07-16,vivo Mobile Communication Co._ Ltd.,CN
78-80-38,FUNAI ELECTRIC CO._ LTD.,JP
F0-45-DA,Texas Instruments,US
1C-EE-C9,Elo touch solutions,US
00-18-62,Seagate Technology,US
00-0C-50,Seagate Technology,US
E4-F0-42,Google_ Inc.,US
20-B3-99,Enterasys,US
CC-2D-21,Tenda Technology Co._Ltd.Dongguan branch,CN
00-40-97,DATEX DIVISION OF,FI
40-48-FD,IEEE Registration Authority,US
