MAC,Vendor,Country
50-16-F4,Motorola Mobility LLC_ a Lenovo Company,US
3C-08-CD,Juniper Networks,US
88-8F-10,Shenzhen Max Infinite Technology Co._Ltd.,CN
68-50-5D,Halo Technologies,US
7C-6A-8A,SINOBONDER Technology Co._ Ltd.,CN
90-EC-E3,Nokia,CA
88-7B-2C,zte corporation,CN
60-DB-EF,Unify Software and Solutions GmbH & Co. KG,DE
40-84-32,Microchip Technology Inc.,US
84-28-59,Amazon Technologies Inc.,US
AC-C0-48,OnePlus Technology (Shenzhen) Co._ Ltd,CN
90-56-07,Sichuan AI-Link Technology Co._ Ltd.,CN
48-31-33,Robert Bosch Elektronika Kft.,HU
B8-AB-61,Cisco Meraki,US
44-D5-C1,EM Microelectronic,CH
40-B7-FC,Phyplus Microelectronics Limited,CN
68-2C-4F,leerang corporation,KR
FC-59-C0,Arista Networks,US
64-1B-2F,Samsung Electronics Co._Ltd,KR
68-DD-B7,TP-LINK TECHNOLOGIES CO._LTD.,CN
14-D8-64,TP-LINK TECHNOLOGIES CO._LTD.,CN
B8-51-A9,Nokia,CA
D0-77-CE,Edgecore Networks Corporation,TW
EC-AF-F9,Hailo Technologies Ltd.,IL
60-15-2B,Palo Alto Networks,US
28-EC-22,eero inc.,US
40-D4-F6,Honor Device Co._ Ltd.,CN
7C-31-80,SMK corporation,JP
78-2D-AD,HUAWEI TECHNOLOGIES CO._LTD,CN
D0-61-58,HUAWEI TECHNOLOGIES CO._LTD,CN
24-4B-F1,HUAWEI TECHNOLOGIES CO._LTD,CN
44-D7-7E,Robert Bosch GmbH,DE
00-16-F6,Nevion,NO
9C-73-B1,Samsung Electronics Co._Ltd,KR
38-8A-06,Samsung Electronics Co._Ltd,KR
B0-D8-88,Panasonic Automotive Systems Co._Ltd,JP
84-3E-1D,Hui Zhou Gaoshengda Technology Co._LTD,CN
40-ED-00,TP-Link Corporation Limited,HK
90-88-55,Cisco Systems_ Inc,US
68-71-61,Cisco Systems_ Inc,US
88-3F-37,UHTEK CO._ LTD.,KR
48-93-DC,UNIWAY INFOCOM PVT LTD,IN
5C-E6-88,VECOS Europe B.V.,NL
D4-BA-FA,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP._LTD,CN
00-80-B8,DMG MORI Digital Co._ LTD,JP
28-73-F6,Amazon Technologies Inc.,US
C4-EB-FF,zte corporation,CN
5C-28-86,Inventec(Chongqing) Corporation,CN
20-15-82,Apple_ Inc.,US
E0-CB-1D,Amazon Technologies Inc.,US
FC-84-A7,Murata Manufacturing Co._ Ltd.,JP
40-92-1A,Apple_ Inc.,US
10-E2-C9,Apple_ Inc.,US
4C-EC-0F,Cisco Systems_ Inc,US
3C-CB-4D,Avikus Co._ Ltd,KR
24-A4-2C,NETIO products a.s.,CZ
70-2F-86,Marquardt GmbH,DE
A8-88-1F,SERVERCOM (INDIA) PRIVATE LIMITED,IN
60-1B-52,Vodafone Italia S.p.A.,IT
C0-8F-20,Shenzhen Skyworth Digital  Technology  CO._ Ltd,CN
08-FF-24,Shenzhen Skyworth Digital  Technology  CO._ Ltd,CN
90-B6-7A,Shenzhen Skyworth Digital  Technology  CO._ Ltd,CN
24-9A-C8,Shenzhen Skyworth Digital  Technology  CO._ Ltd,CN
28-C0-1B,Shenzhen Skyworth Digital  Technology  CO._ Ltd,CN
00-50-79,Private,E028B1  (base 16)Shenzhen Skyworth Digital  Technology  CO._ Ltd
E0-28-B1,Shenzhen Skyworth Digital  Technology  CO._ Ltd,CN
30-31-80,Shenzhen Skyworth Digital  Technology  CO._ Ltd,CN
38-A8-51,Quickset Defense Technologies_ LLC,US
04-36-B8,I&C Technology,KR
D0-43-1E,Dell Inc.,US
20-47-47,Dell Inc.,US
F0-A0-B1,HUAWEI TECHNOLOGIES CO._LTD,CN
40-4F-42,HUAWEI TECHNOLOGIES CO._LTD,CN
30-86-F1,Fiberhome Telecommunication Technologies Co._LTD,CN
84-7B-EB,Dell Inc.,US
98-90-96,Dell Inc.,US
80-18-44,Dell Inc.,US
98-40-BB,Dell Inc.,US
D4-81-D7,Dell Inc.,US
00-B0-D0,Dell Inc.,US
00-19-B9,Dell Inc.,US
00-1A-A0,Dell Inc.,US
00-25-64,Dell Inc.,US
A4-BA-DB,Dell Inc.,US
00-1C-23,Dell Inc.,US
11-00-AA,Private,9C93E4  (base 16)Private
9C-93-E4,Private,782BCB  (base 16)Dell Inc.
78-2B-CB,Dell Inc.,US
14-FE-B5,Dell Inc.,US
18/3/73,Dell Inc.,US
74-86-7A,Dell Inc.,US
A4-1F-72,Dell Inc.,US
00-C0-4F,Dell Inc.,US
00-0B-DB,Dell Inc.,US
00-12-3F,Dell Inc.,US
00-CB-00,Private,442063  (base 16)Continental Automotive Technologies GmbH
44-20-63,Continental Automotive Technologies GmbH,DE
58-10-31,Hon Hai Precision IND.CO._LTD,CN
54-BF-64,Dell Inc.,US
CC-C5-E5,Dell Inc.,US
4C-D9-8F,Dell Inc.,US
DC-F4-01,Dell Inc.,US
6C-2B-59,Dell Inc.,US
C8-F7-50,Dell Inc.,US
48-5A-0D,Juniper Networks,US
D0-8E-79,Dell Inc.,US
B4-45-06,Dell Inc.,US
04-BF-1B,Dell Inc.,US
F8-0D-A9,Zyxel Communications Corporation,TW
98-E7-43,Dell Inc.,US
18-5A-58,Dell Inc.,US
E0-D8-48,Dell Inc.,US
AC-91-9B,Wistron Neweb Corporation,TW
E0-3C-1C,IEEE Registration Authority,US
00-09-93,Visteon Corporation,US
EC-41-CA,Shenzhen TecAnswer Technology co._ltd,CN
14-84-77,New H3C Technologies Co._ Ltd,CN
14-96-2D,New H3C Technologies Co._ Ltd,CN
C4-A6-4E,Quectel Wireless Solutions Co._Ltd.,CN
D8-58-C6,Katch Asset Tracking Pty Limited ,AU
2C-C6-A0,Lumacron Technology Ltd.,GB
70-66-B9,Huawei Device Co._ Ltd.,CN
C4-A1-AE,Huawei Device Co._ Ltd.,CN
48-6F-33,KYUNGWOO.SYSTEM_ INC.,KR
08-61-95,Rockwell Automation,US
24-BB-C9,Shenzhen SuperElectron Technology Co._Ltd.,CN
00-00-BC,Rockwell Automation,US
FC-D7-49,Amazon Technologies Inc.,US
2C-96-82,MitraStar Technology Corp.,TW
A8-71-16,Earda Technologies co Ltd,CN
E8-EB-DD,Guangzhou Qingying Acoustics Technology Co._ Ltd,CN
54-8C-81,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
24-48-45,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
00-50-CA,DZS Inc.,US
74-EE-8D,Apollo Intelligent Connectivity (Beijing) Technology Co._ Ltd.,CN
00-03-51,Diebold Nixdorf,US
F0-9F-C2,Ubiquiti Inc,US
80-2A-A8,Ubiquiti Inc,US
EC-C8-9C,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
8C-E7-48,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
24-28-FD,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
AC-B9-2F,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
D4-E8-53,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
24-0F-9B,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
C0-6D-ED,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
24-32-AE,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
E0-BA-AD,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
E0-CA-3C,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
DC-07-F8,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
64-DB-8B,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
94-E1-AC,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
58-03-FB,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
44-47-CC,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
98-DF-82,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
78-8A-20,Ubiquiti Inc,US
74-83-C2,Ubiquiti Inc,US
E0-63-DA,Ubiquiti Inc,US
24-5A-4C,Ubiquiti Inc,US
60-22-32,Ubiquiti Inc,US
E4-38-83,Ubiquiti Inc,US
C0-56-E3,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
BC-AD-28,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
88-B6-BD,Flaircomm Microelectronics_ Inc.,CN
BC-49-B2,SHENZHEN ALONG COMMUNICATION TECH CO._ LTD,CN
94-97-AE,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP._LTD,CN
0C-BD-75,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP._LTD,CN
AC-90-73,HUAWEI TECHNOLOGIES CO._LTD,CN
FC-1D-3A,HUAWEI TECHNOLOGIES CO._LTD,CN
E4-BE-FB,HUAWEI TECHNOLOGIES CO._LTD,CN
58-F8-D7,HUAWEI TECHNOLOGIES CO._LTD,CN
40-A6-77,Juniper Networks,US
D8-18-D3,Juniper Networks,US
F0-4B-3A,Juniper Networks,US
C0-42-D0,Juniper Networks,US
00-1B-C0,Juniper Networks,US
44-EC-CE,Juniper Networks,US
CC-E1-94,Juniper Networks,US
78-8C-B5,TP-Link Corporation Limited,HK
28-8A-1C,Juniper Networks,US
84-B5-9C,Juniper Networks,US
5C-45-27,Juniper Networks,US
EC-3E-F7,Juniper Networks,US
20-4E-71,Juniper Networks,US
D4-04-FF,Juniper Networks,US
00-21-59,Juniper Networks,US
00-23-9C,Juniper Networks,US
50-C5-8D,Juniper Networks,US
28-C0-DA,Juniper Networks,US
84-C1-C1,Juniper Networks,US
7C-E2-CA,Juniper Networks,US
48-81-4E,E&M SOLUTION CO_.Ltd,KR
7C-4D-8F,HP Inc.,US
9C-CB-F7,CLOUD STAR TECHNOLOGY CO._ LTD.,TW
74-D5-58,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP._LTD,CN
B8-EA-98,Xiaomi Communications Co Ltd,CN
10-C4-CA,HUMAX Co._ Ltd.,KR
F4-64-12,Sony Interactive Entertainment Inc.,JP
3C-F9-F0,zte corporation,CN
68-77-DA,zte corporation,CN
88-58-BE,kuosheng.com,CN
E4-5D-37,Juniper Networks,US
94-F7-AD,Juniper Networks,US
78-4F-9B,Juniper Networks,US
